["hefei", "合肥"]
["baiyanggou", "白杨沟"]
["xiaoquzi", "小渠子"]
["tianchi", "天池"]
["kelamayi", "克拉玛依"]
["tulufan", "吐鲁番"]
["shanshan", "鄯善"]
["tuokexun", "托克逊"]
["hami", "哈密"]
["balikun", "巴里坤"]
["xjyiwu", "伊吾"]
["changji", "昌吉"]
["fukang", "阜康"]
["miquan", "米泉"]
["hutubi", "呼图壁"]
["manasi", "玛纳斯"]
["qitai", "奇台"]
["jimusaer", "吉木萨尔"]
["mulei", "木垒"]
["xjbozhou", "博州"]
["kunming", "昆明"]
["dongchuan", "东川"]
["chenggong", "呈贡"]
["jinning", "晋宁"]
["fumin", "富民"]
["ynyiliang", "宜良"]
["shilin", "石林"]
["songming", "嵩明"]
["luquan", "禄劝"]
["xundian", "寻甸"]
["anning", "安宁"]
["taihuashan", "太华山"]
["qujing", "曲靖"]
["malong", "马龙"]
["luliang", "陆良"]
["hangzhou", "杭州"]
["xiaoshan", "萧山"]
["tonglu", "桐庐"]
["jiande", "建德"]
["zjfuyang", "富阳"]
["linan", "临安"]
["ningbo", "宁波"]
["zhenhai", "镇海"]
["ninghai", "宁海"]
["yuyao", "余姚"]
["cixi", "慈溪"]
["chongqing", "重庆"]
["wuhan", "武汉"]
["taibei", "台北"]
["xianggang", "香港"]
["aomen", "澳门"]
